id,efectiva_a,tipo_via,rel_ir_barrio,cant_trafos,estadocort,estrato,grupomedidor,tarifa,fases_med,personasxm2,rel_viv_casa,rel_viv_apto,rel_viv_cuarto,rel_viv_temp,rel_viv_recibo,pers_x_viv,relacion_personas_primaria,relacion_personas_secundaria,relacion_personas_superior,relacion_personas_postgrado,relacion_pers_ning_estudio,relacion_pers_0_9,relacion_pers_10_19,relacion_pers_20_29,relacion_pers_30_39,relacion_pers_40_49,relacion_pers_50_59,relacion_pers_60_69,relacion_pers_70_79,relacion_pers_80_mas,condicion
7249,NO,2,0.0039840637450199,134,90,9.0,C22D,2,1.0,0.0010481536923875,0.0,1.0,0.0,0.0833333333333333,1.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.375,0.125,0.0,9
6662,NO,1,0.0003220093382708,79,95,2.0,C21E,1,1.0,0.0608662963970178,0.6451612903225806,0.3548387096774193,0.0,0.064516129032258,1.0,2.7580645161290325,0.1812865497076023,0.5789473684210527,0.1637426900584795,0.0175438596491228,0.0058479532163742,0.0994152046783625,0.2105263157894736,0.1461988304093567,0.1637426900584795,0.1871345029239766,0.1228070175438596,0.0526315789473684,0.0116959064327485,0.0058479532163742,0
7199,NO,3,0.0001902949571836,117,1,2.0,C22D,1,1.0,0.0171739170225914,0.65,0.275,0.071875,0.025,0.993103448275862,2.16875,0.2219020172910662,0.4812680115273775,0.217579250720461,0.0057636887608069,0.0086455331412103,0.0951008645533141,0.1268011527377521,0.1440922190201729,0.1729106628242074,0.1354466858789625,0.1671469740634005,0.0951008645533141,0.0461095100864553,0.0172910662824207,0
6643,NO,2,0.0005344735435595,34,1,3.0,C21C,1,1.0,0.0568735524685042,0.8888888888888888,0.1111111111111111,0.0,0.0,1.0,2.555555555555556,0.0434782608695652,0.217391304347826,0.608695652173913,0.0434782608695652,0.0,0.0869565217391304,0.0,0.3478260869565217,0.1304347826086956,0.0434782608695652,0.1304347826086956,0.1739130434782608,0.0434782608695652,0.0434782608695652,0
6586,NO,2,0.0003496096026104,97,1,3.0,C21C,1,1.0,0.054763265905994,0.660377358490566,0.3396226415094339,0.0,0.0,1.0,3.641509433962264,0.2020725388601036,0.4818652849740932,0.2176165803108808,0.0207253886010362,0.0207253886010362,0.1191709844559585,0.1398963730569948,0.2901554404145077,0.1139896373056994,0.0880829015544041,0.1502590673575129,0.0414507772020725,0.0362694300518134,0.0207253886010362,0
389,NO,2,0.0,21,1,3.0,U4PV,2,3.0,0.0298032776363026,0.2368421052631578,0.7631578947368421,0.0,0.0,1.0,2.473684210526316,0.202127659574468,0.3297872340425531,0.2872340425531914,0.0638297872340425,0.0212765957446808,0.0744680851063829,0.1063829787234042,0.1489361702127659,0.1382978723404255,0.0851063829787234,0.1063829787234042,0.1489361702127659,0.1276595744680851,0.0638297872340425,9
6640,NO,2,0.0,13,1,3.0,C21C,1,1.0,0.0327003117470589,0.3898305084745762,0.5932203389830508,0.0169491525423728,0.0508474576271186,1.0,2.3898305084745766,0.1631205673758865,0.3687943262411347,0.3617021276595744,0.0496453900709219,0.0141843971631205,0.0921985815602836,0.1205673758865248,0.1843971631205673,0.1205673758865248,0.177304964539007,0.1063829787234042,0.0638297872340425,0.0921985815602836,0.0425531914893617,0
7364,SI,3,0.0002743484224965,34,5,2.0,C22D,1,1.0,0.0237218220050146,0.75,0.2205882352941176,0.0294117647058823,0.0441176470588235,1.0,3.3823529411764706,0.2739130434782608,0.4391304347826086,0.1826086956521739,0.008695652173913,0.008695652173913,0.1565217391304347,0.1130434782608695,0.1652173913043478,0.1782608695652173,0.1043478260869565,0.1217391304347826,0.0826086956521739,0.0608695652173913,0.017391304347826,0
6694,NO,1,0.0005453553899291,62,1,1.0,C21I,1,1.0,0.0022131160616816,0.5,0.5,0.0,0.0,1.0,3.0,0.0833333333333333,0.4166666666666666,0.4166666666666666,0.0,0.0,0.0833333333333333,0.25,0.25,0.0833333333333333,0.25,0.0833333333333333,0.0,0.0,0.0,0
6654,NO,1,0.0010346611484738,63,1,1.0,C21E,1,1.0,0.0507437347386209,0.4690265486725663,0.5309734513274336,0.0,0.0442477876106194,1.0,2.1415929203539825,0.3347107438016528,0.5041322314049586,0.0619834710743801,0.0,0.0206611570247933,0.1446280991735537,0.1694214876033057,0.1942148760330578,0.1694214876033057,0.0867768595041322,0.0991735537190082,0.1033057851239669,0.0206611570247933,0.012396694214876,0
